261 2000.399820 2.008E-24 6.449E-03.06350.116 1208.62410.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 22f     366643 6 7 2 1 1 1   141.0  135.0
261 2000.491000 1.433E-23 1.010E-02.07870.147  766.80780.75-.001000 000 3 1 1-1+ u 000 1 0 1 0  g                    R 11e     346643 6 7 2 1 1 1    75.0   69.0
261 2000.667970 9.946E-25 9.464E-03.06350.116 1205.98740.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 22e     346643 6 7 2 1 1 1    47.0   45.0
261 2001.369700 7.982E-24 1.375E-03.07330.132  319.92750.75-.001000 000 2 1 0 1  u 000 0 0 0 0+ g                    R 16e     366643 6 7 2 1 1 1    35.0   33.0
261 2001.455830 8.556E-24 2.812E-03.05780.107  764.13330.75-.001000 000 2 1 2-1  u 000 0 0 0 0+ g                    R 25e     366643 6 7 2 1 1 1   159.0  153.0
261 2002.055000 1.068E-24 2.270E-03.07870.147  767.49760.75-.001000 000 3 1 1 1  u 000 1 0 1 0  g                    R 11f     356643 6 7 2 1 1 1    25.0   23.0
261 2002.803000 4.549E-24 1.024E-02.07770.144  795.00420.75-.001000 000 3 1 1-1+ u 000 1 0 1 0  g                    R 12e     346643 6 7 2 1 1 1    27.0   25.0
261 2002.814870 5.218E-25 6.292E-03.06160.113 1262.84800.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 23f     366643 6 7 2 1 1 1    49.0   47.0
261 2003.029200 2.388E-24 9.467E-03.06160.113 1259.97250.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 23e     346643 6 7 2 1 1 1   147.0  141.0
261 2003.784070 2.132E-24 2.732E-03.05600.104  825.20460.75-.001000 000 2 1 2-1  u 000 0 0 0 0+ g                    R 26e     366643 6 7 2 1 1 1    55.0   53.0
261 2003.900690 2.097E-23 1.387E-03.07190.129  359.90160.75-.001000 000 2 1 0 1  u 000 0 0 0 0+ g                    R 17e     366643 6 7 2 1 1 1   111.0  105.0
261 2005.104000 1.276E-23 1.037E-02.07680.141  825.54820.75-.001000 000 3 1 1-1+ u 000 1 0 1 0  g                    R 13e     346643 6 7 2 1 1 1    87.0   81.0
261 2005.226890 1.204E-24 6.136E-03.05970.110 1319.42180.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 24f     366643 6 7 2 1 1 1   153.0  147.0
261 2005.382170 6.296E-25 9.483E-03.05970.110 1316.29740.75-.001000 000 3 1 3-1  u 000 1 0 1 0  g                    R 24e     346643 6 7 2 1 1 1    51.0   49.0
261 2006.105480 4.713E-24 2.650E-03.05410.101  888.61560.75-.001000 000 2 1 2-1  u 000 0 0 0 0+ g                    R 27e     366643 6 7 2 1 1 1   171.0  165.0
261 2006.438420 6.041E-24 1.401E-03.07040.126  402.22290.75-.001000 000 2 1 0 1  u 000 0 0 0 0+ g                    R 18e     366643 6 7 2 1 1 1    39.0   37.0
261 2007.393000 3.908E-24 1.048E-02.07560.138  858.43930.75-.001000 000 3 1 1-1+ u 000 1 0 1 0  g                    R 14e     346643 6 7 2 1 1 1    31.0   29.0
261 2008.419590 1.142E-24 2.568E-03.05240.098  954.36510.75-.001000 000 2 1 2-1  u 000 0 0 0 0+ g                    R 28e     366643 6 7 2 1 1 1    59.0   57.0
